,,Total Votes Cast,Total Ballots Cast,Registered Voters
Precinct,2 Mile Creek,0,2212,2955
Precinct,Abner Creek Baptist,0,2467,3051
Precinct,Airport,0,485,720
Precinct,Anderson Mill Baptist,0,1601,1961
Precinct,Anderson Mill Elementary,0,1771,2430
Precinct,Apalache Baptist,0,2458,3168
Precinct,Arcadia Elementary,0,537,959
Precinct,Beacon,0,581,992
Precinct,Beech Springs Intermediate,0,1451,2007
Precinct,Ben Avon Methodist,0,1126,1366
Precinct,Bethany Wesleyan,0,1272,1495
Precinct,Blackstock,0,2062,2856
Precinct,Boiling Springs 9th Grade,0,1757,2409
Precinct,Boiling Springs Elementary,0,1740,2386
Precinct,Boiling Springs High,0,1592,2050
Precinct,Boling Springs Jr. High,0,1732,2273
Precinct,Broome High School,0,618,809
Precinct,C.C. Woodson Recreation,0,755,1247
Precinct,Canaan,0,918,1236
Precinct,Cannons Elementary,0,1181,1545
Precinct,Carlisle Fosters Grove,0,2257,2772
Precinct,Carlisle Wesleyan,0,1343,1605
Precinct,Cavins-Hobbysville,0,864,1067
Precinct,Chapman High School,0,1324,1818
Precinct,Cherokee Springs Fire Station,0,1344,1785
Precinct,Chesnee Elementary,0,2124,2938
Precinct,Chestnut Lake,0,1455,2004
Precinct,Clifton Glendale,0,1092,1383
Precinct,Converse,0,455,695
Precinct,Converse Fire Station,0,813,1095
Precinct,Cooley Springs Baptist,0,2073,2681
Precinct,Cornerstone Baptist,0,1046,1430
Precinct,Cowpens,0,1212,1626
Precinct,Croft Baptist,0,742,1112
Precinct,Cross Anchor Fire Station,0,618,768
Precinct,Cudd Memorial,0,870,1343
Precinct,D. R. Hill Middle School,0,2107,2795
Precinct,Daniel Morgan Technology Center,0,1021,1240
Precinct,Drayton,0,878,1363
Precinct,Duncan United Methodist,0,1118,1593
Precinct,E.P. Todd Elementary,0,1841,2581
Precinct,Eastside Baptist,0,1180,1405
Precinct,Enoree 1st Baptist,0,1030,1317
Precinct,Enoree River,0,1326,1582
Precinct,Failsafe,0,409,0
Precinct,Failsafe Provisional,0,60,0
Precinct,Fairforest Elementary,0,1210,1601
Precinct,Fairgrounds,0,773,1567
Precinct,Gable Middle School,0,2688,3276
Precinct,Gramling Methodist,0,1356,1629
Precinct,Greater St. James,0,1837,2570
Precinct,Hanging Rock,0,1580,1933
Precinct,Hayne,0,671,1299
Precinct,Hearon Circle,0,792,1387
Precinct,Hendrix Elementary,0,1741,2415
Precinct,Holly Springs Baptist,0,1297,1593
Precinct,Holly Springs Motlow,0,1882,2373
Precinct,Holy Communion,0,1311,2176
Precinct,Hope,0,789,1108
Precinct,Inman,0,1477,1824
Precinct,Jesse Bobo Elementary,0,979,1662
Precinct,Jesse Boyd Elementary,0,902,1446
Precinct,Lake Bowen Baptist,0,1838,2230
Precinct,Lake Cooley,0,1271,1552
Precinct,Landrum,0,1232,1542
Precinct,Landrum High School,0,2228,2775
Precinct,Landrum United Methodist,0,1283,1612
Precinct,Lyman,0,3615,4673
Precinct,Lyman Elementary,0,1789,2309
Precinct,Mayo Elementary,0,1470,1943
Precinct,Mccracken Middle School,0,1664,2167
Precinct,Middle Tyger,0,1228,1600
Precinct,Moore Duncan,0,1274,1564
Precinct,Morningside Baptist,0,1460,1891
Precinct,Motlow Creek Baptist,0,1023,1175
Precinct,Mt. Calvary Presbyterian,0,2372,2832
Precinct,Mt. Moriah Baptist,0,915,1543
Precinct,New Prospect,0,1847,2166
Precinct,Oakland Elementary,0,1602,2090
Precinct,Old Bridge,0,427,845
Precinct,Pacolet Elementary,0,1617,2166
Precinct,Palmetto,0,814,1108
Precinct,Pauline Glenn Springs Elementary,0,893,1061
Precinct,Peach Blossom,0,1331,1876
Precinct,Pelham Fire Station,0,2275,2799
Precinct,Poplar Springs Fire Station,0,2197,2698
Precinct,Powell Saxon Una,0,805,1523
Precinct,Provisional,0,190,0
Precinct,R.D. Anderson Vocational,0,1400,1657
Precinct,Rainbow,0,1915,2394
Precinct,Reidville Elementary,0,2215,2587
Precinct,Reidville Fire Station,0,1593,2117
Precinct,River Ridge Elementary,0,1113,1372
Precinct,Roebuck Bethlehem,0,1443,1912
Precinct,Roebuck Elementary,0,2100,2758
Precinct,Shoally,0,1531,1952
Precinct,Silverhill Memorial Umc,0,877,1439
Precinct,Southport,0,668,886
Precinct,Spartangreen,0,1298,1875
Precinct,St. John's Lutheran,0,1160,1412
Precinct,Startex Fire Station,0,610,904
Precinct,Swofford Career Center,0,1100,1479
Precinct,Travelers Rest Baptist,0,1390,1829
Precinct,Trinity Methodist Church,0,1330,1590
Precinct,Trinity Presbyterian,0,1620,2467
Precinct,Tyger River,0,1772,2092
Precinct,Valley Falls,0,2420,3011
Precinct,Victor Mill Methodist,0,1263,1888
Precinct,Wade Hampton,0,653,1104
Precinct,Wellford Fire Station,0,2124,2936
Precinct,West View Elementary,0,1724,1721
Precinct,Whitlock Junior High,0,646,1077
Precinct,Willow Creek,0,1270,1539
Precinct,Woodland Heights Recreation Center,0,1189,1816
Precinct,Woodruff Leisure Center,0,1066,1502
County,Sumter,0,45468,61269
Precinct,2nd Mill,0,1293,1531
Precinct,Bates,0,357,834
Precinct,Birnie,0,534,802
Precinct,Burns-Downs,0,610,763
Precinct,Causeway Branch 01,0,1133,1351
Precinct,Causeway Branch 02,0,750,922
Precinct,Cherryvale,0,325,542
Precinct,Crosswell,0,717,1113
Precinct,Dalzell 01,0,1101,1465
Precinct,Dalzell 02,0,756,1030
Precinct,Delaine,0,893,1228
Precinct,Ebenezer No. 01,0,912,1211
Precinct,Ebenezer No. 02,0,1122,1520
Precinct,Failsafe,0,9,0
Precinct,Failsafe Provisional,0,15,0
Precinct,Folsom Park,0,704,1309
Precinct,Furman,0,1056,1373
Precinct,Green Swamp,0,1769,2425
Precinct,Green Swamp 02,0,775,916
Precinct,Hampton Park,0,506,686
Precinct,Hillcrest,0,680,895
Precinct,Horatio,0,350,448
Precinct,Lemira,0,658,1055
Precinct,Loring,0,405,782
Precinct,Magnolia-harmony,0,368,693
Precinct,Manchester Forest,0,1012,1314
Precinct,Mayesville,0,342,466
Precinct,Mayewood,0,995,1215
Precinct,Mccrays Mill 01,0,1169,1489
Precinct,Mccrays Mill 02,0,1411,1649
Precinct,Millwood,0,453,593
Precinct,Morris College,0,484,737
Precinct,Mulberry,0,572,852
Precinct,Oakland Plantation 01,0,873,1110
Precinct,Oakland Plantation 02,0,703,901
Precinct,Oswego,0,868,1076
Precinct,Palmetto Park,0,849,1205
Precinct,Pinewood,0,1129,1494
Precinct,Pocotaligo 01,0,1371,1776
Precinct,Pocotaligo 02,0,820,1196
Precinct,Privateer,0,1409,1865
Precinct,Provisional,0,9,0
Precinct,Rembert,0,1221,1586
Precinct,Salem,0,228,298
Precinct,Salterstown,0,619,821
Precinct,Savage-Glover,0,267,411
Precinct,Shaw,0,122,288
Precinct,South Liberty,0,327,531
Precinct,South Red Bay,0,440,666
Precinct,Spectrum,0,673,927
Precinct,St. John,0,799,1000
Precinct,St. Paul,0,1192,1620
Precinct,Stone Hill,0,267,437
Precinct,Sumter High 01,0,450,572
Precinct,Sumter High 02,0,985,1226
Precinct,Sunset,0,1085,1318
Precinct,Swan Lake,0,822,1011
Precinct,Thomas Sumter,0,778,1067
Precinct,Turkey Creek,0,802,1062
Precinct,Wilder,0,499,755
Precinct,Wilson Hall,0,1625,1841
County,Union,0,12350,15975
Precinct,Adamsburg,0,537,642
Precinct,Black Rock,0,272,351
Precinct,Bonham,0,674,835
Precinct,Buffalo Box 01,0,765,1031
Precinct,Carlisle,0,314,437
Precinct,Cross Keys,0,647,795
Precinct,Excelsior,0,980,1292
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,91,0
Precinct,Jonesville Box 01,0,744,933
Precinct,Jonesville Box 02,0,815,1046
Precinct,Kelton,0,711,880
Precinct,Lockhart,0,450,561
Precinct,Monarch,0,1013,1360
Precinct,Provisional,0,5,0
Precinct,Putnam,0,560,666
Precinct,Santuck,0,547,671
Precinct,Union Ward 01 Box 01,0,477,638
Precinct,Union Ward 01 Box 02,0,674,941
Precinct,Union Ward 02,0,624,864
Precinct,Union Ward 03,0,373,618
Precinct,Union Ward 04 Box 01,0,641,824
Precinct,Union Ward 04 Box 02,0,173,298
Precinct,West Springs,0,263,292
County,Williamsburg,0,14414,19252
Precinct,Black River,0,247,301
Precinct,Bloomingvale,0,532,692
Precinct,Cades,0,291,421
Precinct,Cedar Swamp,0,225,293
Precinct,Central,0,578,747
Precinct,Earles,0,490,603
Precinct,Failsafe,0,1,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Greeleyville,0,836,1138
Precinct,Harmony,0,219,258
Precinct,Hebron,0,335,393
Precinct,Hemingway,0,960,1280
Precinct,Henry-Poplar Hill,0,354,462
Precinct,Indiantown,0,860,1127
Precinct,Kingstree No. 01,0,1915,2589
Precinct,Kingstree No. 02,0,445,773
Precinct,Kingstree No. 03,0,1271,1848
Precinct,Kingstree No. 04,0,764,1075
Precinct,Lane,0,520,688
Precinct,Morrisville,0,136,181
Precinct,Mount Vernon,0,246,325
Precinct,Muddy Creek,0,586,730
Precinct,Nesmith,0,346,434
Precinct,Pergamos,0,168,191
Precinct,Piney Forest,0,297,333
Precinct,Provisional,0,4,0
Precinct,Salters,0,648,880
Precinct,Sandy Bay,0,243,310
Precinct,Singletary,0,181,241
Precinct,Suttons,0,191,226
Precinct,Trio,0,525,713
County,York,0,151012,190236
Precinct,Adnah,0,675,802
Precinct,Airport,0,1246,1553
Precinct,Allison Creek,0,1152,1339
Precinct,Anderson Road,0,944,1419
Precinct,Baxter,0,1059,1331
Precinct,Bethany,0,1806,2097
Precinct,Bethel,0,1363,1660
Precinct,Bethel School,0,1041,1259
Precinct,Bowling Green,0,1207,1514
Precinct,Bullocks Creek,0,381,449
Precinct,Cannon Mill,0,1178,1544
Precinct,Carolina,0,1364,1868
Precinct,Catawba,0,2122,2698
Precinct,Celanese,0,2124,3203
Precinct,Clover,0,1674,2035
Precinct,Cotton Belt,0,1628,1908
Precinct,Crescent,0,1763,2014
Precinct,Delphia,0,1589,1963
Precinct,Dobys Bridge,0,2827,3242
Precinct,Ebenezer,0,983,1088
Precinct,Ebinport,0,2071,2741
Precinct,Edgewood,0,1989,2601
Precinct,Failsafe,0,34,0
Precinct,Failsafe Provisional,0,199,0
Precinct,Fairgrounds,0,1070,1648
Precinct,Ferry Branch,0,945,1154
Precinct,Fewell Park,0,1011,1225
Precinct,Field Day,0,1665,1982
Precinct,Filbert,0,1775,2141
Precinct,Fort Mill No. 01,0,2546,3132
Precinct,Fort Mill No. 02,0,4438,5276
Precinct,Fort Mill No. 03,0,1890,2376
Precinct,Fort Mill No. 04,0,1098,1500
Precinct,Fort Mill No. 05,0,2648,3397
Precinct,Fort Mill No. 06,0,1338,1605
Precinct,Friendship,0,596,754
Precinct,Gold Hill,0,2547,3196
Precinct,Hampton Mill,0,1182,1487
Precinct,Hands Mill,0,1363,1606
Precinct,Harvest,0,920,1171
Precinct,Hickory Grove,0,898,1097
Precinct,Highland Park,0,827,1125
Precinct,Hollis Lakes,0,1431,2011
Precinct,Hopewell,0,930,1243
Precinct,Independence,0,775,941
Precinct,India Hook,0,1317,1580
Precinct,Kanawha,0,2537,3023
Precinct,Lakeshore,0,1936,2389
Precinct,Lakewood,0,1421,1717
Precinct,Larne,0,1187,1520
Precinct,Laurel Creek,0,1255,1454
Precinct,Lesslie,0,1222,1455
Precinct,Manchester,0,1052,1285
Precinct,McConnells,0,1334,1609
Precinct,Mill Creek,0,949,1205
Precinct,Mountain View,0,582,693
Precinct,Mt. Gallant,0,1407,1679
Precinct,Mt. Holly,0,2176,2665
Precinct,Nation Ford,0,2243,3027
Precinct,Neelys Creek,0,832,1035
Precinct,New Home,0,1960,2360
Precinct,Newport,0,1916,2262
Precinct,Northside,0,1101,1573
Precinct,Northwestern,0,1991,2385
Precinct,Oakridge,0,2282,2739
Precinct,Oakwood,0,1391,1822
Precinct,Ogden,0,1700,2065
Precinct,Old Pointe,0,1242,1489
Precinct,Orchard Park,0,1774,2075
Precinct,Palmetto,0,1405,1940
Precinct,Pleasant Road,0,2306,3041
Precinct,Pole Branch,0,1774,2272
Precinct,Provisional,0,330,0
Precinct,River Hills,0,1791,2109
Precinct,River's Edge,0,2675,3162
Precinct,Riverview,0,1209,1601
Precinct,Rock Creek,0,1240,1527
Precinct,Rock Hill No. 02,0,991,1538
Precinct,Rock Hill No. 03,0,1421,2014
Precinct,Rock Hill No. 04,0,1466,2058
Precinct,Rock Hill No. 05,0,1082,1458
Precinct,Rock Hill No. 06,0,888,1345
Precinct,Rock Hill No. 07,0,1585,2254
Precinct,Rock Hill No. 08,0,641,924
Precinct,Roosevelt,0,1352,1778
Precinct,Rosewood,0,2021,3020
Precinct,Sharon,0,1175,1434
Precinct,Shoreline,0,1844,2225
Precinct,Six Mile,0,1037,1249
Precinct,Smyrna,0,615,725
Precinct,Springdale,0,758,1229
Precinct,Springfield,0,1780,2271
Precinct,Stateline,0,1608,2196
Precinct,Steele Creek,0,2015,2614
Precinct,Tega Cay,0,1056,1317
Precinct,Tirzah,0,1831,2195
Precinct,Tools Fork,0,1581,1800
Precinct,University,0,882,1132
Precinct,Waterstone,0,1445,1978
Precinct,Windjammer,0,1626,1990
Precinct,Wylie,0,2043,2727
Precinct,York No. 01,0,2007,2523
Precinct,York No. 02,0,2413,3089
