,,Donald J. Trump and Michael R. Pence,Joseph R Biden and Kamala D. Harris,Jo Jorgensen and Jeremy Spike Cohen,Howie Hawkins and Angela Walker,Roque Rocky De La Fuente and Darcy G. Richardson,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Alliance,,,
Precinct,Trolley,325,409,15,4,1,754,9,763
Precinct,Tupperway,414,200,12,2,2,630,1,631
Precinct,Tupperway 02,374,304,15,5,0,698,9,707
Precinct,Windsor,308,408,14,0,0,730,3,733
Precinct,Windsor 02,176,358,7,4,3,548,3,551
County,Edgefield,8184,4953,120,39,8,13304,143,13447
Precinct,Brunson,177,266,0,2,0,445,7,452
Precinct,Edgefield No. 01,448,271,6,2,0,727,10,737
Precinct,Edgefield No. 02,648,647,13,5,2,1315,35,1350
Precinct,Failsafe,1,0,0,0,0,1,0,1
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Harmony,510,171,12,1,0,694,4,698
Precinct,Johnston No. 01,379,553,9,3,1,945,20,965
Precinct,Johnston No. 02,410,485,8,3,1,907,12,919
Precinct,Merriweather No. 01,1718,426,28,4,0,2176,9,2185
Precinct,Merriweather No. 02,1967,561,19,4,2,2553,15,2568
Precinct,North Side,155,201,2,2,1,361,6,367
Precinct,Provisional,1,0,0,0,0,1,0,1
Precinct,Trenton No. 01,459,404,3,4,0,870,7,877
Precinct,Trenton No. 02,584,910,13,9,1,1517,13,1530
Precinct,Westside,727,58,7,0,0,792,5,797
County,Fairfield,4625,7382,78,41,10,12136,91,12227
Precinct,Blackstock,12,48,0,0,0,60,0,60
Precinct,Blairs,59,260,0,0,0,319,1,320
Precinct,Centerville,141,73,4,3,0,221,3,224
Precinct,Dutchmans Creek,820,317,12,2,3,1154,10,1164
Precinct,Failsafe,3,5,0,0,0,8,0,8
Precinct,Failsafe Provisional,2,5,0,0,0,7,0,7
Precinct,Feasterville,64,167,2,0,0,233,1,234
Precinct,Gladden Grove,27,23,0,0,0,50,0,50
Precinct,Greenbrier,517,930,8,2,0,1457,15,1472
Precinct,Hickory Ridge,239,448,3,1,0,691,4,695
Precinct,Horeb-glenn,48,221,0,2,0,271,4,275
Precinct,Jenkinsville,88,340,4,1,0,433,2,435
Precinct,Lebanon,278,302,1,0,0,581,2,583
Precinct,Mitford,297,269,2,2,1,571,5,576
Precinct,Monticello,118,317,1,1,0,437,2,439
Precinct,New Hope,35,19,1,0,0,55,0,55
Precinct,Provisional,3,8,1,0,0,12,0,12
Precinct,Ridgeway,567,1118,8,6,0,1699,12,1711
Precinct,Simpson,328,382,9,3,0,722,4,726
Precinct,South Winnsboro,84,429,1,3,1,518,5,523
Precinct,White Oak,47,140,0,4,2,193,3,196
Precinct,Winnsboro Mills,210,259,9,7,3,488,4,492
Precinct,Winnsboro No. 01,244,772,5,2,0,1023,11,1034
Precinct,Winnsboro No. 02,372,453,7,2,0,834,3,837
Precinct,Woodard,22,77,0,0,0,99,0,99
County,Florence,32615,31153,503,194,45,64510,680,65190
Precinct,Back Swamp,236,128,6,1,1,372,6,378
Precinct,Brookgreen,102,357,6,2,0,467,3,470
Precinct,Cartersville,309,258,4,3,0,574,13,587
Precinct,Claussen,1032,559,6,3,1,1601,16,1617
Precinct,Coles Crossroads,1077,964,26,7,3,2077,9,2086
Precinct,Coward No. 01,424,180,2,3,0,609,4,613
Precinct,Coward No. 02,498,152,2,3,0,655,6,661
Precinct,Delmae No. 01,678,848,21,1,0,1548,15,1563
Precinct,Delmae No. 02,1064,435,10,5,1,1515,21,1536
Precinct,Ebenezer No. 01,1831,976,31,4,2,2844,13,2857
Precinct,Ebenezer No. 02,1163,976,21,5,1,2166,16,2182
